doi,paper
10.1139/facets-2021-0094,"Ratelle, M., Spring, A., Laird, B., Andrew, L., Simmons, D., and Skinner, K. (2022) Water-based beverage perception and consumption in Canadian sub-arctic Indigenous communities and its importance for public health. FACETS. 7: 343-359. https://"
10.1029/2021EF002196,"Abdelmoaty, H.M., S.M. Papalexiou, C.R. Rajulapati, and A .AghaKouchak, (2021)  Biases in CMIP6 Extreme Precipitation: A global Investigation with Historical Data, Earth’s Future, http://"
10.1080/09640568.2022.2028609,"Akomeah, E., Lindenschmidt, K.-E., Morales-Marín, L.A, and Hassanzadeh, E. (online) Evidence-based identification of integrated water quality systems. Journal of Environmental Management. https://"
10.5194/hess-25-105-2021,"Brunner, M. I., Melsen, L. A., Wood, A. W., Rakovec, O., Mizukami, N., Knoben, W. J. M., & Clark, M. P. (2021). Flood spatial coherence, triggers, and performance in hydrological simulations: large-sample evaluation of four streamflow-calibrated models. Hydrology and Earth System Sciences, 25(1), 105–119. https://"
10.1002/wat2.1520,"Brunner, M. I., Slater, L., Tallaksen, L. M., & Clark, M. (2021). Challenges in modeling and predicting floods and droughts: A review. WIREs Water, 8(3). https://"
10.1016/j.jhydrol.2021.127317,"Budhathoki, S., Rokaya, P. and Lindenschmidt, K.-E. (2022) Impacts of future climate on the hydrology of a transboundary river basin in northeastern North America. Journal of Hydrology. 605: 127317. https://"
10.1109/IGARSS47720.2021.9554110,"Chegoonian, A. M., K. Zolfaghari, H. M. Baulch and C. R. Duguay, ""Support Vector Regression for Chlorophyll-A Estimation Using Sentinel-2 Images in Small Waterbodies,"" 2021 IEEE International Geoscience and Remote Sensing Symposium IGARSS, 2021, pp. 7449-7452, "
10.1029/2020WR029480,"Clark, M. P., Luce, C. H., AghaKouchak, A., Berghuijs, W., David, C. H., Duan, Q., et al. (2021). Open Science: Open Data, Open Models, …and Open Publications? Water Resources Research, 57(4). https://"
10.1029/2020WR029001,"Clark, M. P., Vogel, R. M., Lamontagne, J. R., Mizukami, N., Knoben, W. J. M., Tang, G., et al. (2021). The Abuse of Popular Performance Metrics in Hydrologic Modeling. Water Resources Research, 57(9), e2020WR029001. https://"
10.3390/w13162202,"Das, A. and Lindenschmidt, K.-E. (2021) Exploring the potential of zoning regulation for reducing ice-jam flood risk using a stochastic modelling framework. Water 13: 2202. https://"
10.1139/er-2020-0108,"Das, A., Rokaya, P. and Lindenschmidt, K.-E. (2021) Modelling climatic impacts on ice-jam floods: a review of current models, modelling capabilities, challenges and future prospects. Environmental Reviews 29(3): 378-390. https://"
10.1016/j.jhydrol.2021.126505,"Fowler, K. J. A., Coxon, G., Freer, J. E., Knoben, W. J. M., Peel, M. C., Wagener, T., Western, A. W., Woods, R. A. & Zhang, L. (2021). Towards more realistic runoff projections by removing limits on simulated soil moisture deficit. Journal of Hydrology, 600. https://"
10.1101/2022.04.12.22273761,"Fuzzen M., Harper, N.B.J., Dhiyebi, H.A., Srikanthan, N., Hayat S., Peterson, S.W., Yang, I., Sun, J.X., Edwards, E.A., Giesy, J.P.,  Mangat, C.S., Graber, T.E., Delatolla, R., and Servos, M.R. (2022), “Multiplex RT-qPCR assay (N200) to detect and estimate prevalence of multiple SARS-CoV-2 Variants of Concern in wastewater https://"
10.2139/ssrn.4053548,"Gauvreau, N.L., Bragg, L.M., Dhiyebi, H.A., Servos, M.R. and Craig, P.M., “Impacts of Wastewater Effluent Pharmaceuticals in Darter (Etheostoma Sp.) Brains in the Grand River on Scavenging Antioxidative Enzymes” (2022). http://dx."
10.1029/2020WR029143,"Jansen, K. F., Teuling, A. J., Craig, J. R., Dal Molin, M., Knoben, W. J. M., Parajka, J., et al. (2021). Mimicry of a conceptual hydrological model (HBV): What's in a name? Water Resources Research, 57, e2020WR029143. https://"
10.5194/hess-2021-28,"La Follette, P. T., Teuling, A. J., Addor, N., Clark, M., Jansen, K., & Melsen, L. A. (2021). Numerical daemons of hydrological models are summoned by extreme precipitation. Hydrology and Earth System Sciences. https://"
10.1175/JCLI-D-20-0883.1,"Laguë, M. M., A. L. S. Swann, W. R. Boos. Radiative feedbacks on land surface change and associated tropical precipitation shifts. Journal of Climate, 34, 16 (2021): 6651-6672 (2021). EarthArXiv Preprint. "
10.1175/JCLI-D-20-0452.1,"Laguë, M. M., M. Pietschnig, S. Ragen, T. Smith, D. S. Battisti. Terrestrial evaporation and global climate: lessons from Northland, a planet with a hemispheric continent. Journal of Climate, 34(6), 2253–2276, 2021. EarthArXiv Preprint. "
10.1016/j.ejrh.2022.101043,"Lindenschmidt, K.-E., Sabokruhie, P. and Rosner, T. (2022) Modelling transverse mixing of sediment and vanadium in a river impacted by oil sands mining operations. Journal of Hydrology: Regional Studies 40: 101043 https://"
10.1002/hyp.14410,"Liu H., Tolson B.A., Newman A.J., Wood A.W. (2021). Leveraging ensemble meteorological forcing data to improve parameter estimation of hydrologic models. Hydrological Processes, 35(11), e14410. https://"
10.1007/s00382-021-05800-1,"Lucia Scaff, Andreas Prein, Yanping Li, Adam Clark, Sebastian Krogh, Neil Taylor, Changhai Liu, Roy M. Rasmussen, Kyoko Ikeda, Zhenhua Li, 2021: Dryline characteristics in North America’s historical and future climates, Climate Dynamics, https://"
10.1029/2020MS002434,"Mizukami, N., Clark, M. P., Gharari, S., Kluzek, E., Pan, M., Lin, P., et al. (2021). A Vector‐Based River Routing Model for Earth System Models: Parallelization and Global Applications. Journal of Advances in Modeling Earth Systems, 13(6). https://"
10.1007/s13762-022-03942-1,"Nambiar, Manoj, J. M. Thériault and A. Di Luca: Comparison of different satellite-derived precipitation products over the Western Canada, Remote Sensing, 2022 [In Preparation] "
10.5194/hess-25-5603-2021,"Newman, A. J., Stone, A. G., Saharia, M., Holman, K. D., Addor, N., & Clark, M. P. (2021). Identifying sensitivities in flood frequency analyses using a stochastic hydrologic modeling system. Hydrology and Earth System Sciences, 25(10), 5603–5621. https://"
10.1899/0887-3593(2006)25[313:EOWTPD]2.0.CO;2,"Nikel, K.E., Tetreault, G.R., Marjan, P., Hicks K.A., Fuzzen, M.L.M., Srikanthan, N., McCann, E.K., Dhiyebi H., Bragg L.M., Law, P., Celmer-Repin, D., Kleywegt S., Cunningham, J., Clark, T., McMaster, M.E., and Servos M., (2022). “Wild fish responses to wastewater treatment plant upgrades in the Grand River, Ontario.” (Submitted ETCJ-Apr-22-00234) "
10.1029/2021EF002150,"Papalexiou, S. M., Rajulapati, C. R., Andreadis, K. M., Foufoula‐Georgiou, E., Clark, M. P., & Trenberth, K. E. (2021). Probabilistic Evaluation of Drought in CMIP6 Simulations. Earth’s Future, 9(10). https://"
10.1016/j.uclim.2022.101097,"Rajulapati, C.R., Gaddam, R., Nerantzaki, S., Papalexiou, S.M., Cannon, A. and Clark, M.P., (2022) Exacerbated Heat in Large Canadian Cities, Urban Climate, 42, 101097, https://"
10.1016/j.hydroa.2022.100120,"Rokaya, P., Lindenschmidt, K.-E., Pietroniro, A. and Clark, M. (2022) Modelling of ice jam floods under past and future climates: a review. Journal of Hydrology X. 15: 100120 https://"
10.1029/2020WR028713,"Rupp, D. E., Chegwidden, O. S., Nijssen, B., & Clark, M. P. (2021). Changing River Network Synchrony Modulates Projected Increases in High Flows. Water Resources Research, 57(4). https://"
10.3390/rs14030644,"Saberi, N., Scott, K. A., & Duguay, C. (2022). Incorporating Aleatoric Uncertainties in Lake Ice Mapping Using RADARSAT–2 SAR Images and CNNs. Remote Sensing, 14(3), 644. https://"
10.1080/02626667.2021.1994975,"Sadeghian, A., Hudson, J. and Lindenschmidt, K.-E. (2022) Effects of quality controlled measured and re-analysed meteorological data on the performance of water temperature simulations. Hydrological Sciences Journal 67(1): 21-39. https://"
10.1029/2020WR028435,"Sheikholeslami, R., Gharari, S., Papalexiou, S. M., & Clark, M. P. (2021). VISCOUS: A Variance-Based Sensitivity Analysis Using Copulas for Efficient Identification of Dominant Hydrological Processes. Water Resources Research, 57(7), e2020WR028435. https://"
10.1029/2020WR028300,"Stein, L., Clark, M. P., Knoben, W. J. M., Pianosi, F., & Woods, R. A. (2021). How Do Climate and Catchment Attributes Influence Flood Generating Processes? A Large‐Sample Study for 671 Catchments Across the Contiguous USA. Water Resources Research, 57(4). https://"
10.1175/JCLI-D-21-0067.1,"Tang, G., Clark, M. P., & Papalexiou, S. M. (2021a). SC-Earth: A Station-Based Serially Complete Earth Dataset from 1950 to 2019. Journal of Climate, 34(16), 6493–6511. https://"
10.1175/JHM-D-20-0313.1,"Tang, G., Clark, M. P., & Papalexiou, S. M. (2021b). The use of serially complete station data to improve the temporal continuity of gridded precipitation and temperature estimates. Journal of Hydrometeorology, 1(aop). https://"
10.1175/BAMS-D-21-0106.1,"Tang, G., Clark, M. P., & Papalexiou, S. M. (2022). EM-Earth: The Ensemble Meteorological Dataset for Planet Earth. Bulletin of the American Meteorological Society, 1(aop). https://"
10.5194/essd-13-3337-2021,"Tang, G., Clark, M. P., Papalexiou, S. M., Newman, A. J., Wood, A. W., Brunet, D., & Whitfield, P. H. (2021). EMDNA: an Ensemble Meteorological Dataset for North America. Earth System Science Data, 13(7), 3337–3362. https://"
10.3390/w14040584,"Terry, J.A., Davies, J.-M. and Lindenschmidt, K.-E. (2022) Modelling water resource management scenarios of a large multi-purpose Prairie reservoir. Water 14: 584. https://"
10.1175/JHM-D-21-0111.1,"Van Beusekom, A. E., Hay, L. E., Bennett, A. R., Choi, Y.-D., Clark, M. P., Goodall, J. L., et al. (2021). Hydrologic Model Sensitivity to Temporal Aggregation of Meteorological Forcing Data: a Case Study for the Contiguous USA. Journal of Hydrometeorology. https://"
10.1029/2020JD034485,"Vanderkelen, I., Lipzig, N. P. M., Sacks, W. J., Lawrence, D. M., Clark, M. P., Mizukami, N., et al. (2021). Simulating the Impact of Global Reservoir Expansion on the Present‐Day Climate. Journal of Geophysical Research: Atmospheres, 126(16). https://"
10.5194/essd-13-4603-2021,"Vionnet, V., Mortimer, C., Brady, M., Arnal, L., & Brown, R. (2021). Canadian historical Snow Water Equivalent dataset (CanSWE, 1928–2020). Earth Syst. Sci. Data, 13, 4603–4619, https://"
10.22541/au.162738548.88997933/v1,"Wheater, H., Pomeroy, J., Pietroniro, A., ..., Rokaya, P., ..., Bahrami, A. (2022). Advances in modelling large river basins in cold regions with Modélisation Environmentale Communautaire-Surface and Hydrology (MESH), the Canadian hydrological land surface scheme, Hydrological Processes  "
10.1007/s10584-022-03312-3,"Zhang, F., Elshamy, M and Lindenschmidt, K.-E. (2022) Climate change impacts on ice jam behaviour in an inland delta: a new ice jam projection framework. Climatic Change 171(13):  https://"
10.1175/JAMC-D-20-0259.1,"Rajulapati, C. R., Papalexiou, S. M., Clark, M. P., & Pomeroy, J. W. (2021). The Perils of Regridding: Examples using a Global Precipitation Dataset. Journal of Applied Meteorology and Climatology, 1(aop). https://"
10.1016/j.jhydrol.2021.126901,"Costa, D., Pomeroy, J.W., Brown, T., Baulch, H., Elliott, J., and  Macrae, M.: Advances in the simulation of nutrient dynamics in cold climate agricultural basins: Developing new nitrogen and phosphorus modules for the Cold Regions Hydrological Modelling Platform. Journal of Hydrology, Volume 603, Part A, 2021,126901, https://"
10.1016/j.scitotenv.2021.151717,"Van Staden T., K. J. Van Meter, N. B. Basu, C. T. Parsons, Z. Akbarzadeh, P. Van Cappellen (2021) Agricultural phosphorus surplus trajectories for Ontario, Canada (1961–2016), and erosional export risk, Journal of Science of the Total Environment, Volume 818, https://"
10.1002/hyp.14385,"Persaud ,B.D., Dukacz, K.A., Saha, G.C., Peterson, A., Moradi, L., O'Hearn, S., Clary, E., Mai, J., Steeleworthy, M., Venkiteswaran, J.J., Kheyrollah-Pour, H., Wolfe, B.B., Carey, S.K., Pomeroy, J.W., DeBeer, C.M.*, Waddington, J.M., Van Cappellen, P. and Lin, J. (2021) Ten best practices to strenghen stewardship and sharing of water science data in Canada, Hydrological Processes, 35(11), 1-16, "
10.1007/s00477-022-02234-x,"Das, A., Budhathoki, S. and Lindenschmidt, K.-E. (accepted) A stochastic modelling approach to forecast real-time ice jam flood severity along the transborder (New Brunswick/Maine) Saint John River of North America. Stochastic Environmental Research and Risk Assessment. (IF = 3.379) "
10.1111/gcb.15934,"Anderson-Teixeira, KJ, Herrmann, V, Rollinson, C, Gonzalez, B, Gonzalez-Akre, EB, Pederson, N, Allen, CD, Alfaro-Sánchez, R, Awada, T, Baltzer, JL, Baker, PJ, Bunyavejchewin, S, Cherubibi, P, Cooper, J, Davies, SJ, Dow, C, Helocoski, R, Kašpar, J, Lutz, J, Margolis, EQ, Maxwell, J, McMahon, S, Pinponiot, C, Russo, S, Šamonil, P, Sniderhan, A, Tepley, AJ, Vašíčková, I, Vlam, MN, Zuidema, P. Joint effects of climate, tree size, and year on annual tree growth derived from tree ring records of ten globally distributed forests. Global Change Biology, 28(1): 245-266, https://"
10.1002/lol2.10180,"Aukes, P. A. K., Schiff, S. L., Venkiteswaran, J. J., Elgood, R.J., Spoelstra, J.: Size-Based Characterization of Freshwater Dissolved Organic Matter finds Similarities within a Water Body Type across Different Canadian Ecozones, Limnology and Oceanography Letters, 6, 85-95, https://"
10.1073/pnas.2024872118,"Baltzer, J. L., Day, N. J., Walker, X. J., Mack, M. C., Alexander, H., Arsenault, D., Barnes, J., Bourgeau-Chavez, L., Brown, C. D., Carrière, S., Green, D., Gauthier, S., Parisien, M.-A., Reid, K., Rogers, B. M., Roland, C., Sirois, L., Stehn, S., Thompson, D., Turetsky, M. R., Veraverbeke, S., Whitman, E. J., Yang, J., and Johnstone, J.: Increasing fire and the decline of black spruce in the boreal forest, Proceedings of the National Academy of Science, 118, e2024872118, https://"
10.1111/nph.17375,"Black, K. E., Wallace, C. A., and Baltzer, J. L.: Seasonal thaw and landscape position determine foliar functional traits and whole-plant water use in tall shrubs on the low arctic tundra, New Phytologist, 231, 94-107, https://"
10.1038/s41467-021-22452-1,"Chang, K.-Y., Riley, W. J., Knox, S. H. et al. incl. Helbig, M., Sonnentag, O. (2021), Substantial hysteresis in emergent temperature sensitivity of global wetland CH4 emissions, Nature Communications, 12, 2266, https://"
10.1016/j.rse.2021.112747,"Chang, Q., Zwieback, S., DeVries, B. and Berg, A.: Application of L-band SAR for mapping tundra shrub biomass, leaf area index, and rainfall interception, Remote Sensing of Environment, 268, 112747, https://"
10.1002/hyp.14363,"Connon, R., Chasmer, L., Haughton, E. et al. incl. Helbig, M., Sonnentag, O.: The implications of permafrost thaw and land cover change on snow water equivalent accumulation, melt and runoff in discontinuous permafrost peatlands, Hydrological Processes, 35, e14363, https://"
10.1111/fwb.13831,"Culp, J. M., Goedkoop, W., Christensen, T., Christoffersen, K. S., Fefilova, E., Liljaniemi, P., Novichkova, A. A., Ólafsson, J. S., Sandøy, S., Zimmerman, C. E., and Lento, J.: Arctic freshwater biodiversity: Establishing baselines, trends, and drivers of ecological change, Freshwater Biology, 67, 1– 13, https://"
10.1088/1748-9326/ac6005,"Curasi, S., Fetcher, N., Hewitt, R. et al. incl. Sonnentag, O.: Range shifts in a foundation sedge potentially induce large Arctic ecosystem carbon losses and gains, Environmental Research Letters, https://"
10.1111/gcb.15608,"Dearborn, K. D., and Baltzer, J. L.: Unexpected greening in a boreal permafrost peatland undergoing forest loss is partially attributable to tree species turnover, Global Change Biology, 27, 2867-2882, https://"
10.1111/1365-2745.13569,"Dearborn, K. D., Wallace, C. A., Patankar, R., and Baltzer, J. L.: Permafrost thaw in boreal peatlands is rapidly altering forest community composition, Journal of Ecology, 109, 1452-1467, https://"
10.5194/essd-13-3607-2021,"Delwiche, K. B., Knox, S. H., Malhotra, A. et al. incl. Helbig, M., Sonnentag, O.: FLUXNET-CH4: A global, multi-ecosystem dataset and analysis of methane seasonality from freshwater wetlands, Earth System Science Data, 13, 3607-3689, https://"
10.1080/02626667.2022.2099281,"Dimitrov, D., Lafleur, P.M., Sonnentag, O., Talbot, J., and Quinton, W.: Hydrology of peat estimated form near-surface water contents, Hydrological Sciences Journal, In review "
10.1080/10572317.2012.10762911,"Dixon, H. J., Whitehouse, J., Low, M., Low, G., and Swanson, H. K.: Combining traditional knowledge and western science to manage mercury concentrations in a Northern Pike population in a small Subarctic lake, In preparation for Arctic Science "
